"date","symbol","price","volume"
2024-03-31,"ETH",3647.8564453125,10499881424
2024-04-01,"ETH",3505.03002929688,16002098681
2024-04-02,"ETH",3277.23461914062,22076539151
2024-04-03,"ETH",3311.44189453125,16010734587
2024-04-04,"ETH",3330.04052734375,14476330517
2024-04-05,"ETH",3318.88525390625,15214447092
2024-04-06,"ETH",3354.18383789062,8956926798
2024-04-07,"ETH",3453.49462890625,9931108526
2024-04-08,"ETH",3695.29272460938,19055143129
2024-04-09,"ETH",3505.16333007812,18279773833
2024-04-10,"ETH",3543.73706054688,16872482726
2024-04-11,"ETH",3505.24780273438,14076734489
2024-04-12,"ETH",3243.03491210938,22104869556
2024-04-13,"ETH",3004.900390625,29930408174
2024-04-14,"ETH",3156.94189453125,25486284994
2024-04-15,"ETH",3101.60034179688,21925843181
2024-04-16,"ETH",3084.92016601562,19441391169
2024-04-17,"ETH",2984.7275390625,17711869375
2024-04-18,"ETH",3066.02758789062,15183777035
2024-04-19,"ETH",3059.27856445312,20399982867
2024-04-20,"ETH",3157.62719726562,9918642130
2024-04-21,"ETH",3147.28857421875,9394387894
2024-04-22,"ETH",3201.65209960938,12063858733
2024-04-23,"ETH",3219.91162109375,11054442653
2024-04-24,"ETH",3139.80517578125,14000234760
2024-04-25,"ETH",3156.50952148438,13989030260
2024-04-26,"ETH",3130.16479492188,10622333862
2024-04-27,"ETH",3252.16821289062,11820785577
2024-04-28,"ETH",3262.77465820312,11379192678
2024-04-29,"ETH",3215.42895507812,15032246816
2024-04-30,"ETH",3012.28686523438,18266894653
2024-05-01,"ETH",2969.78466796875,20005057445
2024-05-02,"ETH",2988.16845703125,13163903903
2024-05-03,"ETH",3103.5419921875,12862183229
2024-05-04,"ETH",3117.57641601562,8283229638
2024-05-05,"ETH",3137.2490234375,8783447639
2024-05-06,"ETH",3062.72875976562,13008587255
2024-05-07,"ETH",3006.5771484375,11743187337
2024-05-08,"ETH",2973.6572265625,11791662158
2024-05-09,"ETH",3036.0205078125,10861947179
2024-05-10,"ETH",2909.79125976562,12278653601
2024-05-11,"ETH",2911.60205078125,6795916454
2024-05-12,"ETH",2928.70190429688,5908941395
2024-05-13,"ETH",2949.35961914062,13352264795
2024-05-14,"ETH",2881.15795898438,12444516140
2024-05-15,"ETH",3037.056640625,14666902956
2024-05-16,"ETH",2945.13110351562,13035465176
2024-05-17,"ETH",3094.11865234375,14449438097
